,county,state,2020 Democrat vote raw,2020 Democrat vote %,2020 Republican vote raw,2020 Republican vote %,2020 other vote raw,2020 other vote %,Population with less than 9th grade education,"Population with 9th to 12th grade education, no diploma",High School graduate and equivalent,"Some College,No Degree",Associates Degree,Bachelors Degree,Graduate or professional degree,Gini Index,Median income (dollars),Mean income (dollars),Area in square Km,Density per square km,Total Population,Hispanic or Latino percentage,NH-White percentage,NH-Black percentage,NH-American Indian and Alaska Native percentage,NH-Asian percentage,NH-Native Hawaiian and Other Pacific Islander percentage,NH-Some Other Race percentage,NH-Two or More Races percentage,"Percentage engaged in Management, business, science, and arts occupations",Percentage engaged in Service Occupations,Percentage engaged in Sales and Office,Percentage engaged in Resources and Construction,Percentage engaged in Transportation
"Jewell County, Kansas",Jewell County,Kansas,211,13.12,1369,85.14,28,1.74,1.20%,6.40%,37.50%,26.20%,10.30%,12.70%,5.80%,0.4971,"47,109","71,540",2356.81,1.24,2932,2.11,93.55,0.14,0.34,0.34,0,0.27,3.24,39.65,14.97,19.56,10.24,15.58
"Johnson County, Kansas",Johnson County,Kansas,184259,52.74,155631,44.54,9496,2.72,1.50%,2.00%,14.00%,18.40%,7.40%,34.30%,22.40%,0.4459,"1,03,644","1,38,482",1226.65,497.89,609863,8.92,75.49,4.61,0.26,5.39,0.06,0.39,4.89,54.35,11.87,21.11,4.45,8.22
"Kearny County, Kansas",Kearny County,Kansas,255,18.05,1134,80.25,24,1.7,10.00%,9.70%,36.30%,19.20%,8.30%,10.40%,6.20%,0.3793,"68,750","83,545",2254.7,1.76,3983,35.05,59.7,0.85,0.25,0.13,0.03,0.05,3.94,32.7,13.14,16.26,22.75,15.14
"Kingman County, Kansas",Kingman County,Kansas,745,18.96,3102,78.95,82,2.09,2.10%,7.00%,30.80%,27.40%,8.30%,17.70%,6.60%,0.4103,"59,640","79,373",2236.25,3.3,7470,3.59,91.42,0.37,0.36,0.44,0.05,0.21,3.55,36.75,16.58,16.27,11.58,18.81
"Kiowa County, Kansas",Kiowa County,Kansas,153,13.43,957,84.02,29,2.55,3.40%,7.70%,29.40%,22.30%,11.90%,20.00%,5.30%,0.4348,"70,347","89,071",1871.63,1.31,2460,3.54,87.72,1.75,0.41,0.65,0.16,0.24,5.53,34.64,22.69,19.01,12.83,10.83
"Labette County, Kansas",Labette County,Kansas,2607,30.98,5639,67.02,168,2,3.80%,5.80%,30.30%,24.80%,12.80%,14.50%,8.00%,0.4345,"56,143","71,778",1671.56,12.02,20184,4.65,79.65,4.15,2.11,0.45,0.04,0.21,8.73,38.59,15.7,15.19,10.94,19.57
"Lane County, Kansas",Lane County,Kansas,114,12.84,757,85.25,17,1.91,0.10%,4.10%,25.30%,39.90%,10.70%,10.00%,9.90%,0.4529,"52,222","75,972",1858.08,0.82,1574,9.09,87.36,0,0.51,0,0.13,0,2.92,40.12,17.38,15.75,16.88,9.88
"Leavenworth County, Kansas",Leavenworth County,Kansas,13753,38.08,21378,59.19,984,2.72,2.40%,4.30%,28.30%,21.40%,8.20%,20.80%,14.70%,0.4164,"84,307","1,01,341",1200.22,68.36,81881,6.84,76.33,8.13,0.72,1.29,0.17,0.31,6.2,42.29,15.91,20.36,7.95,13.48
"Lincoln County, Kansas",Lincoln County,Kansas,266,16.94,1273,81.08,31,1.97,2.60%,2.80%,25.40%,33.00%,12.50%,13.80%,9.90%,0.4382,"52,540","70,397",1863.23,1.57,2939,4.42,91.56,0.2,0.44,0.27,0,0.41,2.69,35.05,17.56,21.05,10.52,15.82
"Linn County, Kansas",Linn County,Kansas,863,17.6,3940,80.36,100,2.04,1.70%,4.80%,37.30%,26.70%,7.50%,14.70%,7.30%,0.4647,"56,697","79,456",1538.66,6.3,9591,2.48,91.57,0.65,0.48,0.21,0.08,0.17,4.37,29.29,16.57,20.9,18.35,14.9
"Logan County, Kansas",Logan County,Kansas,185,12.87,1231,85.66,21,1.46,4.90%,2.70%,28.80%,21.50%,15.40%,20.20%,6.50%,0.4482,"70,382","91,613",2779.04,0.99,2762,7.06,88.96,0.14,0,0.36,0.07,0.36,3.04,38.61,16.86,19.51,12.61,12.4
"Lyon County, Kansas",Lyon County,Kansas,5878,43.15,7381,54.18,363,2.66,6.70%,5.50%,32.20%,21.90%,7.00%,15.40%,11.30%,0.434,"56,415","71,990",2194.96,14.66,32179,22.55,69.05,1.86,0.38,1.76,0.02,0.7,3.69,31.21,19.4,17.74,8.18,23.47
"Marion County, Kansas",Marion County,Kansas,1463,24.51,4377,73.33,129,2.16,3.10%,4.80%,32.20%,22.50%,9.70%,18.80%,8.90%,0.4387,"60,011","80,818",2445.72,4.85,11823,3.74,90.92,1,0.3,0.33,0.06,0.57,3.09,37.38,15.03,17.89,12.65,17.04
"Marshall County, Kansas",Marshall County,Kansas,1239,24.67,3662,72.9,122,2.43,3.10%,4.70%,38.80%,21.10%,11.50%,13.50%,7.30%,0.4426,"64,306","81,259",2331.45,4.3,10038,2.26,93.74,0.39,0.23,0.41,0,0.13,2.84,35.12,12.34,20.4,9.84,22.3
"McPherson County, Kansas",McPherson County,Kansas,3977,28.68,9562,68.95,329,2.37,4.30%,3.00%,25.10%,24.80%,11.40%,21.20%,10.20%,0.3944,"71,250","82,937",2326.55,12.93,30223,5.27,87.74,1.57,0.31,0.7,0.03,0.46,3.91,38.16,17.13,17.51,8.84,18.36
"Meade County, Kansas",Meade County,Kansas,261,14.44,1508,83.45,38,2.1,6.50%,7.20%,25.00%,23.40%,13.90%,16.00%,8.00%,0.5205,"74,063","1,18,809",2533.22,1.59,4055,19.65,75.29,0.91,0.22,0.32,0,0.15,3.45,45.16,15.38,14.99,14.39,10.07
"Miami County, Kansas",Miami County,Kansas,5133,29.13,12116,68.75,375,2.13,1.50%,2.90%,31.60%,24.50%,8.90%,20.10%,10.40%,0.4017,"85,564","1,02,739",1491.52,23,34191,3.5,89.12,1.26,0.44,0.47,0.02,0.25,4.93,35.71,18.12,22.64,11.73,11.8
"Mitchell County, Kansas",Mitchell County,Kansas,547,18,2454,80.75,38,1.25,1.10%,3.60%,23.60%,29.60%,13.30%,19.10%,9.70%,0.4206,"63,008","76,546",1817.63,3.21,5796,2.71,93.79,0.33,0.21,0.22,0,0.03,2.71,41.63,17.19,17.82,10.43,12.94
"Montgomery County, Kansas",Montgomery County,Kansas,3147,23.88,9768,74.13,262,1.99,2.60%,7.40%,33.80%,24.60%,11.50%,13.20%,6.90%,0.431,"51,513","66,032",1666.9,18.87,31486,7.67,74.86,4.87,3,0.61,0.08,0.23,8.69,31.33,18.03,20.73,11.57,18.33
"Morris County, Kansas",Morris County,Kansas,721,25.31,2085,73.18,43,1.51,2.10%,5.40%,35.20%,20.70%,8.70%,19.50%,8.40%,0.451,"52,866","72,380",1800.93,2.99,5386,4.21,90.92,0.3,0.19,0.33,0.02,0.22,3.81,37.5,14.18,17.11,12.39,18.83
"Morton County, Kansas",Morton County,Kansas,147,12.64,1004,86.33,12,1.03,8.60%,3.60%,36.10%,22.30%,11.90%,13.20%,4.30%,0.3939,"57,943","72,181",1889.99,1.42,2701,21.88,71.83,0.63,0.37,1.15,0.33,0.44,3.37,36.61,14.75,11.19,19.24,18.22
"Nemaha County, Kansas",Nemaha County,Kansas,920,16.36,4612,81.99,93,1.65,3.40%,3.50%,36.20%,16.40%,12.30%,18.80%,9.50%,0.4504,"72,788","94,845",1858.13,5.5,10273,2.59,93.66,0.62,0.25,0.34,0.07,0.1,2.37,38.39,15.12,16.73,8.78,20.98
"Neosho County, Kansas",Neosho County,Kansas,1727,26.05,4795,72.33,107,1.61,2.60%,6.40%,29.70%,27.10%,13.10%,14.40%,6.70%,0.4421,"54,894","71,079",1480.13,10.69,15904,5.72,86.56,0.82,0.8,0.53,0.04,0.16,5.37,35.91,15.29,20.66,11.56,16.58
"Ness County, Kansas",Ness County,Kansas,147,9.89,1315,88.43,25,1.68,3.10%,5.50%,34.90%,23.70%,11.90%,17.90%,3.00%,0.4416,"64,907","89,559",2783.56,0.96,2687,11.35,85.78,0.07,0.33,0.07,0,0.22,2.16,33.43,16.89,16.68,18.23,14.78
"Norton County, Kansas",Norton County,Kansas,361,15.1,1977,82.72,52,2.18,2.00%,7.20%,31.20%,28.40%,10.40%,14.80%,6.00%,0.4582,"52,710","72,782",2274.12,2.39,5459,5.7,85.91,3.65,0.6,0.64,0.04,0.16,3.3,28.4,22.48,25.76,12.4,10.96
"Osage County, Kansas",Osage County,Kansas,2099,26.59,5591,70.83,203,2.57,2.00%,5.80%,40.80%,22.50%,8.80%,13.40%,6.60%,0.3839,"66,155","76,953",1827.25,8.64,15766,2.9,92,0.21,0.27,0.33,0.02,0.15,4.12,32.66,16.34,17.58,14.29,19.13
"Osborne County, Kansas",Osborne County,Kansas,275,14.48,1590,83.73,34,1.79,2.30%,2.20%,31.80%,25.00%,15.40%,17.50%,5.70%,0.4363,"58,750","73,819",2311.6,1.51,3500,1.89,93.86,0.03,0.54,0.51,0,0.09,3.09,41.24,16.2,18.93,11.78,11.84
"Ottawa County, Kansas",Ottawa County,Kansas,504,15.95,2581,81.7,74,2.34,1.10%,4.10%,30.40%,30.20%,10.40%,17.20%,6.50%,0.3923,"74,551","85,895",1866.68,3.09,5735,2.51,91.86,0.52,0.38,0.17,0,0.26,4.29,37.61,12.89,20.9,10.18,18.43
"Pawnee County, Kansas",Pawnee County,Kansas,635,23.41,2028,74.78,49,1.81,2.40%,7.90%,33.70%,28.70%,9.00%,12.60%,5.80%,0.4342,"54,141","75,010",1953.53,3.22,6253,8.35,82.42,3.93,0.38,0.45,0,0.43,4.03,31.85,27.08,14.53,11.42,15.11
"Phillips County, Kansas",Phillips County,Kansas,318,11.56,2388,86.77,46,1.67,3.10%,5.80%,34.30%,24.30%,12.30%,14.00%,6.10%,0.4433,"57,611","74,849",2294.4,2.16,4981,2.85,92.75,0.38,0.44,0.3,0.02,0,3.25,40.78,16.47,13.53,14.4,14.83
"Pottawatomie County, Kansas",Pottawatomie County,Kansas,3257,25.42,9247,72.16,311,2.43,0.60%,3.40%,27.00%,20.10%,11.10%,24.20%,13.60%,0.3858,"85,241","97,130",2177.49,11.7,25348,5.64,87.05,1.07,0.43,0.77,0.11,0.28,4.67,47.05,13.55,16.18,9.37,13.86
"Pratt County, Kansas",Pratt County,Kansas,924,22.5,3087,75.16,96,2.34,2.50%,5.60%,28.70%,25.50%,9.80%,17.70%,10.20%,0.4353,"61,685","79,910",1903.74,4.82,9157,8.09,85.97,1.16,0.44,0.49,0.08,0.39,3.39,38.64,17.02,20.13,10.44,13.78
"Rawlins County, Kansas",Rawlins County,Kansas,214,14.3,1253,83.76,29,1.94,2.20%,3.20%,30.30%,31.20%,15.70%,13.40%,4.00%,0.4135,"61,827","71,305",2769.78,0.92,2561,6.21,87.54,0.7,0.12,0.43,0,0.47,4.53,36.46,14.58,18.82,16.59,13.54
"Reno County, Kansas",Reno County,Kansas,8602,31.57,17948,65.88,695,2.55,2.10%,6.20%,31.10%,28.00%,12.20%,13.40%,7.10%,0.4366,"57,390","74,762",3251.23,19.03,61898,9.85,81.29,2.82,0.64,0.54,0.07,0.28,4.52,30.65,17.39,22.33,9.72,19.92
"Republic County, Kansas",Republic County,Kansas,420,15.89,2172,82.18,51,1.93,1.60%,3.00%,32.10%,21.70%,15.10%,16.70%,9.70%,0.4172,"54,531","70,275",1858,2.52,4674,1.95,94.18,0.32,0.28,0.24,0.19,0,2.85,40.38,10.44,22.05,11.84,15.29
"Rice County, Kansas",Rice County,Kansas,953,22.53,3187,75.34,90,2.13,2.20%,5.80%,29.50%,29.50%,9.30%,15.80%,7.90%,0.4203,"58,523","74,985",1880.94,5.02,9427,13.68,79.77,1.38,0.43,0.32,0,0.15,4.26,32.27,16.29,18.71,10.98,21.74
"Riley County, Kansas",Riley County,Kansas,11940,50.05,11174,46.84,741,3.11,1.70%,2.50%,16.40%,23.20%,8.40%,26.00%,21.90%,0.4844,"56,327","79,585",1579.01,45.66,71959,10.38,72,6.61,0.42,4.62,0.31,0.57,5.08,43.55,20.07,20.51,7.04,8.83
"Rooks County, Kansas",Rooks County,Kansas,332,12.48,2294,86.21,35,1.32,1.40%,6.00%,31.90%,23.00%,15.00%,16.60%,6.00%,0.3685,"60,821","77,922",2306.45,2.14,4919,2.36,92.66,0.57,0.04,0.1,0.18,0.14,3.94,36.87,19.49,17.09,16.93,9.62
"Rush County, Kansas",Rush County,Kansas,291,16.65,1425,81.52,32,1.83,2.00%,7.10%,32.10%,29.40%,9.90%,14.90%,4.70%,0.4829,"53,523","74,989",1859,1.58,2956,4.47,92.86,0.2,0.1,0.47,0,0,1.89,32.05,16.33,18.69,15.11,17.81
"Russell County, Kansas",Russell County,Kansas,591,17.24,2765,80.64,73,2.13,1.90%,4.70%,30.60%,29.30%,13.40%,15.40%,4.70%,0.4734,"49,929","68,506",2295.4,2.92,6691,3.53,90.26,0.9,0.43,0.42,0,0.19,4.27,32.99,19.86,23.28,6.1,17.77
"Saline County, Kansas",Saline County,Kansas,8022,33.55,15313,64.04,576,2.41,1.40%,4.90%,29.60%,26.00%,9.90%,18.10%,10.10%,0.4369,"59,887","76,189",1865.43,29.03,54303,12.23,76.43,3.19,0.43,2.04,0.05,0.3,5.33,33.04,19.02,21.82,8.45,17.66
"Scott County, Kansas",Scott County,Kansas,290,12.49,1991,85.75,41,1.77,7.10%,7.90%,29.50%,28.70%,6.70%,12.70%,7.20%,0.4034,"53,365","71,235",1858.54,2.76,5151,19.94,75.62,0.25,0.39,0.29,0.04,0.06,3.42,29.42,21.51,19.65,15.35,14.07
"Sedgwick County, Kansas",Sedgwick County,Kansas,90820,42.53,117653,55.09,5079,2.38,4.40%,6.10%,25.80%,23.40%,8.60%,20.20%,11.60%,0.4614,"65,372","88,589",2582.22,202.42,523824,15.77,64.2,8.61,0.85,4.24,0.1,0.38,5.86,37.64,16.25,20.38,10.05,15.68
"Seward County, Kansas",Seward County,Kansas,1736,34.05,3285,64.42,78,1.53,18.60%,11.60%,30.10%,20.70%,7.70%,8.30%,3.00%,0.3949,"57,131","72,107",1656.69,13.24,21964,65.59,26.99,2.78,0.3,2.35,0,0.19,1.79,22.26,14.26,16.27,18.38,28.82
"Shawnee County, Kansas",Shawnee County,Kansas,43015,49.95,40443,46.96,2664,3.09,2.60%,4.50%,30.10%,23.20%,7.90%,20.40%,11.40%,0.4508,"63,463","84,874",1409.02,126.77,178909,13.34,70.36,7.56,0.88,1.39,0.09,0.33,6.05,39.31,16.99,20.73,9.06,13.92
"Sheridan County, Kansas",Sheridan County,Kansas,144,10.31,1237,88.55,16,1.15,1.60%,2.10%,34.60%,22.70%,14.60%,17.70%,6.60%,0.4939,"66,719","95,576",2320.52,1.06,2447,5.93,90.4,0,0.29,0.49,0.08,0.04,2.78,40.67,16.17,17.26,15.22,10.68
"Sherman County, Kansas",Sherman County,Kansas,386,14.44,2222,83.13,65,2.43,3.90%,6.40%,28.70%,23.30%,11.60%,20.20%,5.90%,0.5011,"61,404","89,437",2735.19,2.17,5927,13.04,80.95,1.74,0.2,0.22,0.02,0.25,3.58,38.58,11.56,21.26,13.1,15.49
"Smith County, Kansas",Smith County,Kansas,328,15.68,1734,82.89,30,1.43,1.90%,2.70%,39.30%,21.80%,11.30%,17.10%,6.00%,0.4405,"50,943","74,345",2319.24,1.54,3570,1.88,94.4,0.34,0.42,0.25,0,0.14,2.58,39.31,14.18,20.69,12.1,13.72
"Stafford County, Kansas",Stafford County,Kansas,355,17.6,1631,80.86,31,1.54,2.20%,4.60%,29.50%,23.60%,14.00%,19.20%,6.90%,0.4405,"60,000","82,699",2051.39,1.98,4072,12.35,82.61,0.34,0.52,0.29,0,0.05,3.83,35.51,16.34,20.4,13.7,14.05
"Stanton County, Kansas",Stanton County,Kansas,147,19.17,607,79.14,13,1.69,12.90%,7.10%,37.60%,15.50%,9.50%,12.90%,4.50%,0.4437,"66,000","87,817",1762.1,1.17,2084,43.62,51.54,0.34,1.01,0.1,0,0,3.41,29.28,12.68,17.3,30.38,10.36
"Stevens County, Kansas",Stevens County,Kansas,233,11.67,1731,86.68,33,1.65,9.80%,15.80%,25.70%,27.60%,8.50%,10.30%,2.20%,0.3483,"67,950","76,991",1883.59,2.8,5250,38.48,57.28,0.38,0.38,0.42,0,0.3,2.76,20.87,10.83,22.37,26.06,19.88
"Sumner County, Kansas",Sumner County,Kansas,2551,23.67,7998,74.2,230,2.13,1.70%,4.80%,36.20%,24.30%,9.00%,15.70%,8.20%,0.4077,"59,397","75,973",3060.51,7.36,22382,5.6,86.44,0.89,0.96,0.33,0,0.42,5.36,31.46,17.24,21.35,10.92,19.03
"Thomas County, Kansas",Thomas County,Kansas,622,16.39,3106,81.87,66,1.74,1.90%,3.70%,23.20%,31.10%,13.80%,16.60%,9.90%,0.4644,"72,417","95,662",2783.43,2.84,7930,7.97,87.14,1.34,0.15,0.59,0,0.3,2.51,35.4,16.28,26.61,10.57,11.13
"Trego County, Kansas",Trego County,Kansas,238,14.85,1341,83.66,24,1.5,0.20%,5.20%,31.00%,20.60%,17.90%,18.70%,6.30%,0.423,"77,500","90,516",2303.73,1.21,2808,2.28,93.55,0.14,0.14,0.43,0,0.07,3.38,26.48,14.73,20.85,21.85,16.09
"Wabaunsee County, Kansas",Wabaunsee County,Kansas,956,24.76,2813,72.86,92,2.38,1.00%,2.40%,38.20%,22.80%,10.50%,17.10%,8.10%,0.3928,"70,000","87,718",2057.32,3.36,6877,4.61,89.94,0.45,0.42,0.17,0.06,0.31,4.04,36.64,13.35,17.83,17.2,14.98
"Wallace County, Kansas",Wallace County,Kansas,44,5.39,762,93.27,11,1.35,4.00%,3.40%,28.90%,22.40%,15.40%,21.00%,4.90%,0.4079,"57,708","72,338",2366.35,0.63,1512,5.29,88.89,0.2,0.07,0,0.13,0.2,5.22,43.28,16.67,15.69,12.61,11.76
"Washington County, Kansas",Washington County,Kansas,467,16.43,2332,82.03,44,1.55,2.70%,3.80%,40.00%,19.90%,11.20%,15.20%,7.30%,0.4135,"59,432","74,689",2317.41,2.39,5530,4.97,91.93,0.24,0.04,0.07,0.04,0.11,2.6,38.35,15.62,16.65,11.88,17.5
"Wichita County, Kansas",Wichita County,Kansas,147,15.3,803,83.56,11,1.14,3.80%,8.10%,29.40%,27.10%,10.30%,16.70%,4.70%,0.455,"69,551","94,598",1861.08,1.15,2152,29.55,65.61,0.05,0.37,0,0.09,0.28,4.04,46.87,8.29,15.94,14.56,14.35
"Wilson County, Kansas",Wilson County,Kansas,711,18.24,3111,79.79,77,1.97,2.90%,5.80%,37.40%,22.80%,11.60%,14.60%,4.90%,0.4788,"55,439","75,208",1477.39,5.87,8624,3.03,89.04,0.24,0.92,0.41,0.02,0.31,6.03,37.95,13.17,17.36,10.71,20.82
"Woodson County, Kansas",Woodson County,Kansas,283,18.93,1189,79.53,23,1.54,1.10%,6.90%,38.00%,23.50%,9.40%,15.30%,5.80%,0.4322,"50,670","68,094",1289.34,2.43,3115,2.28,91.94,0.26,0.87,0,0,0.22,4.43,33.68,18.12,15.41,14.96,17.82
"Wyandotte County, Kansas",Wyandotte County,Kansas,35566,64.54,18512,33.59,1029,1.87,9.60%,9.10%,32.00%,20.90%,8.50%,12.90%,7.10%,0.4272,"57,771","72,423",392.74,427.74,169245,32.98,37.27,20.06,0.43,4.5,0.22,0.34,4.21,27.12,18.35,18.76,12.55,23.22
"Adair County, Kentucky",Adair County,Kentucky,1392,15.88,7276,82.98,100,1.14,6.60%,7.30%,39.80%,16.50%,11.10%,9.00%,9.70%,0.464,"49,690","65,724",1049.7,17.99,18903,3.4,90.17,2.63,0.14,0.33,0.03,0.37,2.93,33.1,14.15,19.07,10.63,23.05
"Allen County, Kentucky",Allen County,Kentucky,1642,17.54,7587,81.02,135,1.44,6.90%,6.60%,39.90%,19.00%,9.40%,11.00%,7.30%,0.4433,"57,159","70,978",890.24,23.33,20588,2.79,92.22,0.99,0.18,0.23,0.03,0.2,3.35,31.63,15.48,18.74,10.49,23.66
"Anderson County, Kentucky",Anderson County,Kentucky,3348,25.26,9661,72.89,245,1.85,3.80%,5.10%,35.10%,21.70%,9.00%,16.50%,8.80%,0.4107,"69,885","85,850",523.85,45.51,23852,2.18,90.78,2.02,0.21,0.44,0.02,0.29,4.06,37.65,13.02,19.79,9.4,20.14
"Ballard County, Kentucky",Ballard County,Kentucky,825,19.53,3356,79.43,44,1.04,2.70%,5.20%,40.60%,19.20%,15.00%,11.70%,5.60%,0.4581,"57,111","77,040",639.97,12.1,7728,1.2,91.54,2.69,0.09,0.38,0,0.06,4.04,33.96,14.16,22.35,14.84,14.69
"Barren County, Kentucky",Barren County,Kentucky,5127,25.55,14654,73.04,283,1.41,6.70%,8.60%,42.00%,17.30%,8.00%,10.60%,6.80%,0.4696,"48,141","67,977",1262.27,35.26,44485,4.25,87.23,3.81,0.16,0.57,0.12,0.36,3.49,31.19,15.97,19.19,10.6,23.04
"Bath County, Kentucky",Bath County,Kentucky,1573,27.95,3986,70.84,68,1.21,9.80%,8.80%,44.20%,16.20%,6.80%,8.10%,6.30%,0.5191,"51,471","75,187",720,17.69,12750,1.43,95.1,1,0.03,0.13,0.01,0.12,2.2,24.04,17.81,20.22,7.63,30.3
"Bell County, Kentucky",Bell County,Kentucky,1789,17.81,8140,81.04,115,1.14,9.20%,12.60%,40.30%,17.70%,8.50%,7.20%,4.50%,0.4755,"33,658","46,786",929.8,26.08,24097,1.01,92.59,2.29,0.13,0.51,0.02,0.24,3.21,28.29,20.98,20.7,7.8,22.23
"Boone County, Kentucky",Boone County,Kentucky,20901,31.2,44814,66.89,1283,1.91,2.30%,3.80%,29.10%,20.80%,9.30%,21.70%,12.90%,0.3906,"91,697","1,10,633",637.83,213.46,135968,5.67,82.82,4.13,0.14,2.24,0.23,0.34,4.44,39.03,13.47,21.12,8.39,17.99
"Bourbon County, Kentucky",Bourbon County,Kentucky,3296,34.16,6190,64.16,162,1.68,6.50%,8.20%,34.40%,20.90%,6.70%,12.80%,10.40%,0.452,"54,580","74,117",750.45,26.95,20252,7.34,82.81,5.1,0.14,0.38,0.04,0.35,3.85,37.32,17.81,19.89,10.63,14.35
"Boyd County, Kentucky",Boyd County,Kentucky,7083,32.56,14295,65.72,373,1.71,2.80%,8.50%,32.00%,23.30%,12.60%,11.30%,9.50%,0.4632,"58,327","76,156",414.05,116.51,48261,1.48,91.24,2.71,0.18,0.57,0.01,0.24,3.56,38.41,15.47,23,8.96,14.16
"Boyle County, Kentucky",Boyle County,Kentucky,5298,36.59,8872,61.28,308,2.13,2.80%,6.80%,35.20%,20.80%,7.70%,15.10%,11.60%,0.4723,"56,568","76,729",467.07,65.54,30614,4.87,81.9,7.04,0.12,1.18,0.01,0.32,4.56,34.96,13.41,20.98,8.7,21.95
"Bracken County, Kentucky",Bracken County,Kentucky,800,18.84,3398,80.03,48,1.13,4.20%,7.80%,43.50%,17.40%,9.50%,11.10%,6.40%,0.4308,"59,911","78,058",524.9,16.04,8400,1.07,94.81,0.57,0.17,0.15,0,0.07,3.15,31.11,12.52,17.24,11.39,27.74
"Breathitt County, Kentucky",Breathitt County,Kentucky,1301,22.98,4265,75.34,95,1.68,7.50%,13.00%,40.10%,16.20%,6.10%,8.20%,8.80%,0.4553,"38,209","50,811",1275.37,10.65,13718,0.68,95.04,0.42,0.08,0.27,0.08,0,3.43,37.21,16.74,16.78,11.66,17.61
"Breckinridge County, Kentucky",Breckinridge County,Kentucky,2350,23.04,7701,75.49,150,1.47,4.50%,10.40%,42.10%,20.60%,8.10%,8.20%,6.10%,0.4622,"51,756","69,871",1475.58,13.91,20432,1.39,91.73,2.07,0.21,0.19,0.01,0.31,4.09,25.11,12.93,21.17,11.18,29.62
"Bullitt County, Kentucky",Bullitt County,Kentucky,10552,25.13,30708,73.12,738,1.76,3.00%,7.70%,40.80%,21.50%,9.60%,11.30%,6.20%,0.3947,"73,900","88,496",769.44,107.2,82217,2.57,90.96,1.25,0.22,0.54,0.03,0.21,4.21,30.61,12.34,23.16,10.37,23.52
"Butler County, Kentucky",Butler County,Kentucky,1079,17.62,4960,80.98,86,1.4,8.60%,10.70%,46.00%,17.00%,6.50%,5.40%,5.90%,0.4309,"47,589","59,302",1103.62,11.2,12371,4.79,91.91,0.12,0.18,0.17,0.02,0.19,2.63,28.5,13.03,20.74,16.26,21.46
"Caldwell County, Kentucky",Caldwell County,Kentucky,1433,22.27,4906,76.25,95,1.48,2.40%,9.90%,42.60%,19.70%,9.30%,9.00%,7.20%,0.472,"52,488","71,682",893.12,14.15,12649,1.57,88.47,5.17,0.17,0.42,0.02,0.23,3.97,28.98,20.45,13.56,11.7,25.3
"Calloway County, Kentucky",Calloway County,Kentucky,5797,33.21,11352,65.03,308,1.76,3.40%,6.30%,31.90%,19.70%,7.20%,17.70%,13.90%,0.479,"48,276","68,254",996.76,37.47,37103,3.65,86.88,3.48,0.14,1.17,0.03,0.3,4.35,33.77,19.7,21.37,8.07,17.1
"Campbell County, Kentucky",Campbell County,Kentucky,19374,39.64,28482,58.27,1022,2.09,2.10%,4.60%,26.50%,19.10%,8.40%,24.40%,14.90%,0.4896,"71,979","1,01,730",391.92,237.6,93076,2.48,88.9,3,0.13,1.1,0.03,0.4,3.96,47.29,13.45,20.35,7.28,11.62
"Carlisle County, Kentucky",Carlisle County,Kentucky,463,17.55,2159,81.84,16,0.61,5.00%,8.00%,44.70%,19.90%,8.90%,8.60%,4.70%,0.5083,"53,065","77,657",490.71,9.75,4826,2.76,92.06,1.22,0.56,0.21,0,0,3.19,26.53,17.5,22.12,12.27,21.57
"Carroll County, Kentucky",Carroll County,Kentucky,1116,26.98,2954,71.42,66,1.6,5.90%,11.40%,43.30%,25.20%,8.50%,3.00%,2.80%,0.4584,"50,625","70,237",333.33,32.53,10810,7.35,86.97,1.56,0.19,0.41,0.03,0.1,3.4,15.44,21.48,21.4,13.86,27.81
"Carter County, Kentucky",Carter County,Kentucky,2642,22.8,8775,75.74,169,1.46,8.00%,10.80%,40.20%,17.10%,9.40%,8.40%,6.10%,0.5126,"47,004","67,304",1060.59,25.15,26627,0.95,95.49,0.78,0.17,0.22,0,0.12,2.27,29.94,20.3,17.3,11.15,21.3
"Casey County, Kentucky",Casey County,Kentucky,918,12.8,6179,86.17,74,1.03,13.60%,9.20%,43.50%,15.10%,6.50%,6.40%,5.80%,0.4816,"42,190","58,686",1150.62,13.86,15941,3.38,93.07,0.51,0.26,0.33,0.01,0.25,2.2,29.51,14.74,17.85,13.72,24.19
"Christian County, Kentucky",Christian County,Kentucky,8296,34.77,15080,63.19,487,2.04,5.30%,8.40%,32.30%,24.70%,10.20%,13.10%,6.00%,0.4676,"48,920","65,876",1858.73,39.15,72748,7.91,63.78,20.92,0.37,1.29,0.29,0.38,5.05,27.32,19.47,20.15,11.32,21.74
"Clark County, Kentucky",Clark County,Kentucky,6004,33.1,11811,65.11,324,1.79,4.10%,7.00%,37.60%,21.80%,9.50%,12.70%,7.20%,0.4921,"61,878","87,594",653.92,56.42,36972,3.99,87.27,4.42,0.17,0.57,0.04,0.21,3.32,35.54,13.55,23.29,9.55,18.07
"Clay County, Kentucky",Clay County,Kentucky,831,10.95,6677,87.96,83,1.09,14.30%,13.60%,38.20%,14.20%,5.50%,7.20%,7.10%,0.4617,"37,888","49,866",1215.47,16.72,20345,1.74,91.85,4.01,0.13,0.1,0.05,0.1,2.02,30.05,19.8,21.2,13.43,15.51
"Clinton County, Kentucky",Clinton County,Kentucky,603,12.23,4280,86.78,49,0.99,9.20%,9.90%,40.30%,16.10%,10.50%,8.20%,5.80%,0.4601,"41,180","57,130",510.39,18.21,9253,2.65,93.81,0.42,0.11,0.11,0.03,0.16,2.71,27.2,19.99,20.9,12.47,19.43
